username,movie_slug,rating
jay,childs-play-2019,2.5
jay,midsommar,4.0
jay,sequin-in-a-blue-room,3.5
jay,jonas-brothers-chasing-happiness,3.0
jay,always-be-my-maybe-2019,3.0
jay,murder-mystery,1.0
jay,matthias-maxime,4.0
jay,parasite-2019,5.0
jay,once-upon-a-time-in-hollywood,2.5
jay,portrait-of-a-lady-on-fire,4.0
jay,the-lighthouse-2019,5.0
jay,rocketman-2019,3.0
jay,ma-2019,2.0
jay,john-wick-chapter-3-parabellum,3.5
jay,wine-country,2.0
jay,yesterday-2019,2.0
jay,tolkien-2019,2.0
jay,pokemon-detective-pikachu,3.0
jay,the-kill-team-2019,2.5
jay,avengers-endgame,2.5
jay,homecoming-a-film-by-beyonce,4.0
jay,the-perfect-date-2019,2.0
jay,after-2019,1.0
jay,hellboy-2019,1.0
jay,the-silence-2019,1.5
jay,five-feet-apart,2.0
jay,dumbo-2019,3.0
jay,booksmart,3.0
jay,the-peanut-butter-falcon,3.0
jay,long-shot-2019,3.5
jay,us-2019,3.0
jay,triple-frontier,3.0
jay,happy-death-day-2u,3.0
jay,isnt-it-romantic-2019,2.0
jay,alita-battle-angel,2.5
jay,the-souvenir,2.0
jay,velvet-buzzsaw,2.0
jay,wounds,1.0
jay,the-last-black-man-in-san-francisco,4.0
jay,extremely-wicked-shockingly-evil-and-vile,2.5
jay,the-hole-in-the-ground-2019,3.0
jay,the-lodge-2019,3.5
jay,honey-boy,4.0
jay,polar-2019,1.0
jay,serenity-2019,1.0
jay,fyre-2019,3.0
jay,glass-2019,2.5
jay,escape-room-2019,2.5
jay,holmes-watson,0.5
jay,welcome-to-marwen,1.5
jay,vice-2018,2.5
jay,dumplin,3.5
jay,spider-man-into-the-spider-verse,4.0
jay,aquaman-2018,2.0
jay,the-princess-switch,1.0
jay,mary-queen-of-scots-2018,2.0
jay,dragon-ball-super-broly,3.5
jay,creed-ii,3.5
jay,bird-box,3.0
jay,the-grinch,2.0
jay,the-nutcracker-and-the-four-realms,1.5
jay,bohemian-rhapsody,1.5
jay,venom-2018,2.0
jay,bad-times-at-the-el-royale,3.5
jay,apostle-2018,3.5
jay,johnny-english-strikes-again,2.0
jay,hold-the-dark,3.0
jay,green-book,2.5
jay,the-death-life-of-john-f-donovan,2.5
jay,slice-2018,1.5
jay,if-beale-street-could-talk,4.0
jay,widows-2018,4.0
jay,life-itself-2018,1.0
jay,halloween-2018,3.0
jay,sierra-burgess-is-a-loser,2.0
jay,the-predator,2.0
jay,at-eternitys-gate,3.5
jay,suspiria-2018,4.0
jay,the-quake,2.5
jay,a-star-is-born-2018,3.5
jay,the-front-runner,2.0
jay,the-ballad-of-buster-scruggs,3.5
jay,roma-2018,4.5
jay,the-favourite,5.0
jay,first-man,3.5
jay,skin-2018-1,0.5
jay,to-all-the-boys-ive-loved-before,3.0
jay,the-package-2018,1.5
jay,billionaire-boys-club-2018,1.5
jay,mission-impossible-fallout,4.0
jay,mamma-mia-here-we-go-again,3.5
jay,tau-2018,2.5
jay,sicario-day-of-the-soldado,2.0
jay,ideal-home,3.0
jay,jurassic-world-fallen-kingdom,2.5
jay,oceans-eight,3.0
jay,tag-2018,3.0
jay,slender-man,0.5
jay,under-the-silver-lake,2.5
jay,blackkklansman,4.0
jay,climax-2018,4.0
jay,fahrenheit-451-2018,2.0
jay,the-kissing-booth,0.5
jay,anon,1.5
jay,avengers-infinity-war,3.0
jay,truth-or-dare-2018,1.0
jay,the-guernsey-literary-potato-peel-pie-society,2.5
jay,shiva-baby,3.0
jay,ready-player-one,3.0
jay,unfriended-dark-web,2.5
jay,a-quiet-place-2018,3.0
jay,the-strangers-prey-at-night,2.5
jay,a-wrinkle-in-time-2018,2.0
jay,mute-2018,1.0
jay,unsane,3.5
jay,irreplaceable-you,2.5
jay,game-night,3.5
jay,isle-of-dogs-2018,4.0
jay,hellraiser-judgment,1.0
jay,annihilation,3.5
jay,when-we-first-met,1.5
jay,the-1517-to-paris,1.0
jay,the-cloverfield-paradox,2.5
jay,black-panther,2.5
jay,tully-2018,3.5
jay,skate-kitchen,3.5
jay,hereditary,4.5
jay,sorry-to-bother-you,3.5
jay,wildlife-2018,3.5
jay,eighth-grade,4.0
jay,juliet-naked,3.0
jay,the-open-house,1.0
jay,fauve,3.5
jay,searching-2018,3.0
jay,maze-runner-the-death-cure,3.0
jay,insidious-the-last-key,2.5
jay,bright,1.5
jay,phantom-thread,4.5
jay,star-wars-the-last-jedi,3.0
jay,the-greatest-showman,3.0
jay,wonder-2017,3.0
jay,marguerite-2017,3.5
jay,paddington-2,4.0
jay,murder-on-the-orient-express-2017,2.5
jay,justice-league,2.0
jay,jigsaw-2017,2.0
jay,coco-2017,4.0
jay,the-man-who-invented-christmas,2.5
jay,happy-death-day,2.0
jay,blade-runner-2049,4.0
jay,thor-ragnarok,3.0
jay,spf-18,0.5
jay,kingsman-the-golden-circle,2.5
jay,unicorn-store,3.0
jay,revenge-2017,3.5
jay,mom-and-dad-2017,1.5
jay,the-death-of-stalin,3.5
jay,9-11-2017,0.5
jay,mother-2017,3.5
jay,it-2017,3.0
jay,three-billboards-outside-ebbing-missouri,3.5
jay,victoria-abdul,2.0
jay,lean-on-pete,3.5
jay,lady-bird,4.0
jay,darkest-hour,3.0
jay,first-reformed,4.0
jay,the-shape-of-water,4.0
jay,leatherface,1.5
jay,death-note-2017,0.5
jay,the-snowman-2017,1.0
jay,victor-crowley,1.5
jay,american-made,2.5
jay,the-silent-child,3.0
jay,logan-lucky,4.0
jay,the-dark-tower,2.0
jay,dunkirk-2017,3.0
jay,tour-de-pharmacy,4.0
jay,spider-man-homecoming,3.0
jay,escape-room-2017,1.0
jay,annabelle-creation,1.5
jay,transformers-the-last-knight,1.0
jay,the-book-of-henry,1.0
jay,good-time,4.0
jay,the-beguiled-2017,3.0
jay,pirates-of-the-caribbean-dead-men-tell-no-tales,1.0
jay,the-killing-of-a-sacred-deer,4.0
jay,the-mummy-2017,1.5
jay,how-to-talk-to-girls-at-parties,2.5
jay,okja,3.5
jay,baywatch,1.0
jay,you-were-never-really-here,4.5
jay,alien-covenant,3.0
jay,the-circle-2017,1.5
jay,guardians-of-the-galaxy-vol-2,2.5
jay,the-fate-of-the-furious,2.0
jay,gifted-2017,3.0
jay,power-rangers,2.0
jay,life-2017,2.5
jay,mayhem-2017,3.0
jay,the-boss-baby,1.5
jay,the-disaster-artist,3.5
jay,atomic-blonde,3.5
jay,baby-driver,3.0
