username,movie_slug,rating
davidlsims,creed-iii,3.5
davidlsims,magic-mikes-last-dance,3.5
davidlsims,ant-man-and-the-wasp-quantumania,2.0
davidlsims,nate-bargatze-hello-world,3.5
davidlsims,knock-at-the-cabin,3.5
davidlsims,smoke-sauna-sisterhood,3.0
davidlsims,rye-lane,3.0
davidlsims,mutt-2023,3.0
davidlsims,passages-2023,4.0
davidlsims,scrapper-2023,4.0
davidlsims,a-thousand-and-one,4.0
davidlsims,you-hurt-my-feelings-2023,4.0
davidlsims,all-dirt-roads-taste-of-salt,3.0
davidlsims,past-lives,3.5
davidlsims,theater-camp-2023,3.0
davidlsims,infinity-pool,3.0
davidlsims,eileen-2023,3.0
davidlsims,cat-person,1.0
davidlsims,the-starling-girl,2.0
davidlsims,earth-mama,3.0
davidlsims,fremont,3.5
davidlsims,polite-society,2.5
davidlsims,fair-play-2023,2.5
davidlsims,cassandro,3.0
davidlsims,the-pod-generation,1.5
davidlsims,sometimes-i-think-about-dying-2023,3.5
davidlsims,babylon-2022,4.0
davidlsims,atsuko-okatsuka-the-intruder,4.0
davidlsims,m3gan,3.0
davidlsims,avatar-the-way-of-water,4.5
davidlsims,your-christmas-or-mine,2.5
davidlsims,emancipation-2022,2.0
davidlsims,the-guardians-of-the-galaxy-holiday-special,3.0
davidlsims,disenchanted,3.0
davidlsims,suzume,3.5
davidlsims,the-people-youre-paying-to-be-in-shorts,3.5
davidlsims,talk-to-me-2022,3.0
davidlsims,black-panther-wakanda-forever,3.5
davidlsims,guillermo-del-toros-pinocchio,3.5
davidlsims,she-said-2022,2.0
davidlsims,black-adam,1.5
davidlsims,pinball-the-man-who-saved-the-game,3.0
davidlsims,halloween-ends,2.5
davidlsims,till,3.0
davidlsims,smile-2022,3.0
davidlsims,blank-narcissus-passion-of-the-swamp,3.0
davidlsims,confess-fletch,3.5
davidlsims,all-quiet-on-the-western-front-2022,2.5
davidlsims,sanctuary-2022,3.0
davidlsims,wendell-wild,3.5
davidlsims,the-good-nurse,3.0
davidlsims,catherine-called-birdy,4.5
davidlsims,how-to-blow-up-a-pipeline,3.5
davidlsims,causeway,3.5
davidlsims,the-menu-2022,3.0
davidlsims,the-fabelmans,5.0
davidlsims,glass-onion,3.5
davidlsims,no-bears,4.0
davidlsims,the-lost-king,3.0
davidlsims,the-woman-king,4.0
davidlsims,blonde-2022,1.5
davidlsims,bros,2.5
davidlsims,weird-the-al-yankovic-story-2022,2.5
davidlsims,the-inspection,3.0
davidlsims,pinocchio-2022,1.0
davidlsims,saint-omer,3.5
davidlsims,the-eternal-daughter,5.0
davidlsims,dont-worry-darling,2.0
davidlsims,the-banshees-of-inisherin,4.0
davidlsims,the-whale-2022,2.0
davidlsims,pearl-2022,3.0
davidlsims,master-gardener,3.5
davidlsims,empire-of-light,2.0
davidlsims,sr,3.0
davidlsims,bones-and-all,3.0
davidlsims,all-the-beauty-and-the-bloodshed,4.5
davidlsims,women-talking,3.5
davidlsims,blue-jean,3.0
davidlsims,tar-2022,5.0
davidlsims,white-noise-2022,3.5
davidlsims,barbarian-2022,4.5
davidlsims,how-to-score-10-runs-in-the-first-inning-and-lose,5.0
davidlsims,prey-2022,3.0
davidlsims,dc-league-of-super-pets,2.0
davidlsims,orphan-first-kill,2.5
davidlsims,skinamarink,3.0
davidlsims,bullet-train,2.0
davidlsims,nope,4.5
davidlsims,mrs-harris-goes-to-paris,3.5
davidlsims,the-gray-man-2022,1.5
davidlsims,persuasion-2022,1.5
davidlsims,section-1,3.5
davidlsims,thor-love-and-thunder,2.0
davidlsims,spiderhead,3.5
davidlsims,huesera-the-bone-woman,3.5
davidlsims,lightyear-2022,2.0
davidlsims,hustle-2022,4.0
davidlsims,showing-up-2022,4.5
davidlsims,chile-76,3.0
davidlsims,stars-at-noon,3.0
davidlsims,elvis-2022,4.0
davidlsims,funny-pages,4.0
davidlsims,decision-to-leave,4.5
davidlsims,jurassic-world-dominion,1.0
davidlsims,crimes-of-the-future-2022,4.0
davidlsims,return-to-seoul,4.0
davidlsims,holy-spider,3.0
davidlsims,war-pony,2.5
davidlsims,aftersun,4.0
davidlsims,triangle-of-sadness,3.0
davidlsims,one-fine-morning-2022,4.0
davidlsims,three-thousand-years-of-longing,5.0
davidlsims,chip-n-dale-rescue-rangers,3.0
davidlsims,men-2022,3.5
davidlsims,eo,3.5
davidlsims,armageddon-time,4.5
davidlsims,top-gun-maverick,4.5
davidlsims,doctor-strange-in-the-multiverse-of-madness,3.5
davidlsims,moon-knight-2022,2.0
davidlsims,sonic-the-hedgehog-2,3.0
davidlsims,fantastic-beasts-the-secrets-of-dumbledore,1.0
davidlsims,the-northman,4.5
davidlsims,the-bubble-2022,1.0
davidlsims,rrr,4.5
davidlsims,morbius,1.0
davidlsims,deep-water-2022,3.0
davidlsims,ambulance-2022,3.5
davidlsims,the-unknown-country,2.0
davidlsims,x-2022,3.5
davidlsims,apollo-10-a-space-age-childhood,3.0
davidlsims,soft-quiet,2.5
davidlsims,the-lost-city-2022,3.0
davidlsims,everything-everywhere-all-at-once,3.0
davidlsims,captain-ahab-the-story-of-dave-stieb,4.5
davidlsims,chappelles-home-team-earthquake-legendary,4.0
davidlsims,the-adam-project,2.0
davidlsims,the-batman,3.5
davidlsims,turning-red,4.0
davidlsims,texas-chainsaw-massacre,1.0
davidlsims,the-outfit-2022,3.5
davidlsims,both-sides-of-the-blade,4.0
davidlsims,flux-gourmet,3.5
davidlsims,the-sky-is-everywhere,3.0
davidlsims,uncharted-2022,2.0
davidlsims,kimi,3.5
davidlsims,i-want-you-back,2.0
davidlsims,death-on-the-nile-2022,2.0
davidlsims,marry-me-2022,2.5
davidlsims,jackass-forever,3.5
davidlsims,moonfall,2.0
davidlsims,the-civil-dead,3.0
davidlsims,palm-trees-and-power-lines-2022,3.0
davidlsims,emily-the-criminal,3.0
davidlsims,am-i-ok,1.5
davidlsims,girl-picture,2.5
davidlsims,the-cow-who-sang-a-song-into-the-future,3.0
davidlsims,something-in-the-dirt,2.5
davidlsims,cha-cha-real-smooth,2.0
davidlsims,nanny-2022,3.0
davidlsims,you-wont-be-alone,3.5
davidlsims,resurrection-2022,4.0
davidlsims,good-luck-to-you-leo-grande,3.0
davidlsims,dual-2022,3.0
davidlsims,sharp-stick,3.0
davidlsims,summering,2.0
davidlsims,hatching,3.0
davidlsims,master-2022,2.5
davidlsims,watcher,2.5
davidlsims,call-jane,2.0
davidlsims,we-met-in-virtual-reality,3.0
davidlsims,living-2022,3.0
davidlsims,breaking-2022,3.0
davidlsims,fresh-2022,2.5
davidlsims,a-love-song,2.5
davidlsims,when-you-finish-saving-the-world,2.5
davidlsims,fire-of-love-2022,3.0
davidlsims,the-princess-2022,1.5
davidlsims,scream-2022,3.5
davidlsims,the-matrix-resurrections,5.0
davidlsims,spider-man-no-way-home,2.5
davidlsims,being-the-ricardos,1.5
davidlsims,dont-look-up-2021,2.0
davidlsims,nightmare-alley-2021,3.5
davidlsims,west-side-story-2021,5.0
davidlsims,resident-evil-welcome-to-raccoon-city,1.5
davidlsims,licorice-pizza,5.0
davidlsims,tick-tick-boom-2021,4.0
davidlsims,house-of-gucci,3.0
davidlsims,operation-mincemeat-2022,3.0
davidlsims,red-notice,1.0
davidlsims,eternals,3.0
davidlsims,encanto,3.5
davidlsims,the-tender-bar,2.5
davidlsims,no-time-to-die-2021,3.5
davidlsims,the-tragedy-of-macbeth,3.5
davidlsims,the-many-saints-of-newark,3.0
davidlsims,cry-macho,3.5
davidlsims,venom-let-there-be-carnage,2.5
davidlsims,jagged,3.0
davidlsims,benediction,4.0
davidlsims,listening-to-kenny-g,3.0
davidlsims,the-eyes-of-tammy-faye-2021,2.5
davidlsims,the-humans,3.5
davidlsims,montana-story,2.0
davidlsims,dashcam-2021,1.0
davidlsims,the-last-duel-2021,4.0
davidlsims,the-guilty-2021,2.5
davidlsims,earwig,2.0
davidlsims,dear-evan-hansen,1.5
davidlsims,halloween-kills,2.5
davidlsims,our-father-the-devil,3.0
davidlsims,happening,3.5
davidlsims,il-buco,4.0
davidlsims,last-night-in-soho,2.5
davidlsims,marcel-the-shell-with-shoes-on-2021,3.0
davidlsims,dune-2021,5.0
davidlsims,the-lost-daughter-2021,4.0
davidlsims,spencer-2021,3.0
davidlsims,cinderella-2021,1.0
davidlsims,full-time-2021,3.5
davidlsims,the-cathedral-2021,3.0
davidlsims,king-richard,3.0
davidlsims,cyrano-2021,3.0
davidlsims,belfast,2.5
davidlsims,cmon-cmon,3.0
davidlsims,the-power-of-the-dog,4.5
davidlsims,the-rescue-2021,3.0
davidlsims,the-electrical-life-of-louis-wain,2.5
davidlsims,the-card-counter,4.5
davidlsims,parallel-mothers,3.5
davidlsims,malignant-2021,3.5
davidlsims,ghostbusters-afterlife,1.5
davidlsims,candyman-2021,2.5
davidlsims,reminiscence-2021,2.0
davidlsims,the-history-of-the-atlanta-falcons,3.5
davidlsims,shang-chi-and-the-legend-of-the-ten-rings,3.0
davidlsims,mad-god,4.0
davidlsims,beckett,3.0
davidlsims,free-guy,2.0
davidlsims,vivo,2.0
davidlsims,the-green-knight,4.5
davidlsims,the-suicide-squad,4.0
davidlsims,jungle-cruise,2.0
davidlsims,old-2021,4.5
davidlsims,belle-2021,3.0
davidlsims,memoria-2021,5.0
davidlsims,paris-13th-district,3.0
davidlsims,red-rocket-2021,4.0
davidlsims,blue-bayou-2021,1.5
davidlsims,titane,4.0
davidlsims,pig-2021,3.5
davidlsims,neptune-frost,3.0
davidlsims,the-french-dispatch,3.5
davidlsims,bergman-island-2021,4.5
davidlsims,babi-yar-context,3.5
davidlsims,drive-my-car,5.0
